Id,psi,PLC
14,-0.49512988,44.054054
14,-0.49512988,23.513514
14,-0.32467532,28.378378
14,-0.32467532,24.864864
14,-0.32467532,12.432432
14,-0.22727273,7.2972975
15,-4.050095,90.78422
15,-3.5607245,93.722786
15,-3.0466297,93.695076
15,-3.055004,92.07828
15,-2.524298,92.58875
15,-2.5329885,84.77252
15,-2.5341299,62.400654
15,-2.201686,77.47704
15,-2.0272682,83.12801
15,-2.0275707,77.19812
15,-2.027832,72.07685
15,-2.028052,67.7642
15,-1.8128626,59.9359
15,-1.8130552,56.16233
15,-1.4818075,47.788696
15,-1.4817111,49.67548
15,-1.5056654,67.73604
15,-1.5049641,81.482605
15,-0.88326776,77.675514
15,-1.2244987,52.896107
15,-1.1919776,40.225914
15,-0.9922032,55.309456
15,-0.99265695,46.41462
15,-0.99297327,40.215187
15,-0.99322075,35.363457
15,-0.83485055,51.527397
15,-0.8021231,42.90031
15,-0.8195457,26.459229
15,-0.8196969,23.494284
15,-0.6034625,36.15107
15,-0.60406756,24.291283
15,-0.51260966,29.138096
15,-0.38857567,22.392876
15,-0.5217403,12.696568
15,-0.5218778,10.001163
15,-0.5220429,6.7666755
15,-0.29823163,5.4069033
15,-0.29836914,2.7114978
15,-0.2152581,6.4805956
15,-0.18167818,14.565025
16,-6.0415053,99.03204
16,-6.0411224,96.34386
16,-6.0402036,89.89221
16,-3.9860678,94.517365
16,-4.083111,88.869545
16,-4.0828424,86.98781
16,-4.0230236,79.19365
16,-2.0471656,83.816696
16,-2.065165,72.79461
16,-2.0642076,66.07414
16,-1.0476712,73.62842
16,-1.0461011,62.606857
16,-1.0451436,55.88639
16,-1.0444926,51.316475
16,-0.53507555,47.029053
16,-0.28063512,46.767075
16,-0.61136174,33.04838
16,-0.53208846,26.061203
16,-0.2972557,26.067514
16,-0.2959919,17.1965
16,0,0
17,-5.024008,98.7911
17,-5.0235834,95.83408
17,-5.0423417,89.650696
17,-3.0384202,89.70456
17,-3.037108,80.56468
17,-3.0356412,70.34952
17,-3.0340202,59.05908
17,-1.0096418,53.468254
17,-1.0476992,44.864956
17,-1.0470816,40.563835
17,-1.0458465,31.961594
17,-0.49524862,28.481722
17,-0.49493983,26.331161
17,-0.49436086,22.29886
17,-0.49304852,13.158978
17,-0.25721586,12.627676
17,-0.25694567,10.745936
17,-0.2564825,7.5200953
17,0,0
18,-4.0486755,96.38414
18,-4.049095,93.458626
18,-3.0340078,89.70823
18,-2.0188446,86.489746
18,-2.0197983,79.84084
18,-1.5529191,66.79653
18,-1.0255774,66.7825
18,-1.0276374,52.420876
18,-0.5397776,49.482372
18,-0.5023174,38.31118
18,-0.50266075,35.917576
18,-0.23048313,27.133753
18,-0.23075016,25.27206
18,-0.34828052,22.88157
18,-0.03894791,0.7989071
18,0,0
19,-3.9977963,98.83564
19,-3.0041606,97.936844
19,-3.0056803,95.291504
19,-3.0073524,92.38163
19,-3.9976442,99.100174
19,-3.9976442,99.100174
19,-1.9936167,92.53891
19,-1.9957445,88.835434
19,-1.9981762,84.60289
19,-1.0450443,81.06288
19,-0.9685962,78.40929
19,-0.9748276,67.5634
19,-0.50215626,75.97898
19,-0.21585576,65.366684
19,-0.4902635,62.750225
19,-0.26137507,53.995853
19,-0.26274294,51.615047
19,0.019643977,0.26247126
19,0,0
20,-0.78125,80.69705
20,-0.48828125,69.1689
20,-0.76171875,66.48794
20,-0.2734375,20.911528
20,0,0
21,-3.0559468,99.093
21,-3.0577996,92.65868
21,-2.0754964,92.60601
21,-2.0182567,86.70473
21,-2.0191057,83.75567
21,-1.5069958,88.28592
21,-1.5108556,74.881096
21,-1.5120134,70.85965
21,-0.9990544,78.33896
21,-1.0221742,66.27567
21,-0.8033657,75.64746
21,-1.0446764,56.357155
21,-0.5149275,53.91584
21,-0.79182506,47.496273
21,-0.5029237,27.373234
21,-0.51025724,1.9040647
21,0,0
22,-3.0390391,96.33932
22,-3.0394223,93.6655
22,-3.0401115,88.85261
22,-1.9837087,86.417915
22,-2.0035846,84.27937
22,-2.0048866,75.18837
22,-1.5355275,73.03675
22,-1.5372125,61.271923
22,-1.0285996,59.921406
22,-1.0295954,52.969463
22,-1.02994,50.56302
22,-0.42478228,40.118885
22,-0.4647636,34.237514
22,-0.46602738,25.413893
22,-0.46736774,16.055508
22,-0.32973093,20.597345
22,-0.17424805,13.106451
22,-0.31238273,5.0886393
22,-0.2931963,2.4142911
22,0,0
23,-4.143544,92.87235
23,-3.966959,93.671906
23,-2.0855744,86.91906
23,-1.577195,76.98588
23,-2.1071815,72.978645
23,-2.1075659,70.29769
23,-1.4824625,53.927067
23,-1.482924,50.709927
23,-1.1116835,41.584705
23,-1.0924218,39.17132
23,-0.99503654,34.611076
23,-0.54705673,13.68757
23,0,0
24,0.15306123,9.944752
24,0.24489796,12.43094
24,0.24489796,23.20442
24,0.52040815,27.071823
24,0.65816325,25.690607
24,0.78061223,30.110497
24,0.5969388,35.359116
24,1.0561224,51.9337
24,1.0561224,49.72376
24,1.0561224,48.34254
24,1.2704082,52.209946
24,1.3775511,58.83978
24,1.6224489,66.85083
24,1.8520408,66.0221
24,1.8061224,76.243095
24,1.9591837,75.690605
24,2.4030612,81.21547
24,2.1734693,67.127075
24,2.2806122,69.33701
24,2.8163266,70.441986
25,0.16886438,9.660932
25,0.29065236,9.379075
25,0.50408083,11.026741
25,0.88552344,16.257906
25,0.49008936,19.867346
25,0.5510027,19.86454
25,0.5823096,25.940573
25,0.5230196,37.54575
25,0.53847986,39.20253
25,0.81258976,39.18991
25,0.8134401,45.26734
25,1.0581756,52.99104
25,1.1472265,36.412014
25,1.5150254,52.970005
25,1.500261,56.28567
25,1.485535,59.877583
25,1.8199012,55.16596
25,1.9116963,58.20047
25,1.8995987,80.57717
25,2.2806547,83.04587
25,2.357183,85.80483
25,2.4335952,87.735054
25,2.875487,89.64845
26,0.47325817,8.567752
26,0.4589147,11.6248
26,0.6278448,18.276182
26,0.43145826,22.183466
26,0.5843529,25.780613
26,0.4632985,27.458578
26,0.4499548,34.12684
26,1.3049498,49.881855
26,1.623006,46.51889
26,1.3243692,65.15865
26,1.7490594,62.896988
26,1.91599,62.325943
26,1.9166052,64.548225
26,2.0836897,64.53276
26,2.342526,66.73113
26,2.3412187,62.008778
26,2.5254152,68.93654
26,2.1788256,78.96917
26,2.7557955,78.08237
26,2.7412982,80.58384
26,2.8187838,86.13252
26,3.0906563,80.55149
26,3.5169616,84.12332
27,-2.5206814,81.09091
27,-2.435523,77.454544
27,-2.5547445,74.90909
27,-2.3333333,83.27273
27,-2.2311435,81.818184
27,-2.2311435,86.181816
27,-2.1459854,90.181816
27,-2.1459854,92
27,-1.9075426,95.63636
27,-1.9586375,88.36364
27,-1.839416,82.90909
27,-1.839416,79.27273
27,-1.4987835,84.72727
27,-1.703163,74.181816
27,-1.9927007,81.09091
27,-2.111922,78.545456
27,-2.2652068,75.63636
27,-2.1970804,73.454544
27,-2.0608273,74.90909
27,-1.9245743,74.90909
27,-1.9245743,70.545456
27,-2.0437956,70.545456
27,-2.0948906,66.545456
27,-2.0948906,58.18182
27,-1.7883211,60.727272
27,-1.4647202,66.90909
27,-1.4647202,61.090908
27,-1.4647202,58.909092
27,-1.4647202,52.727272
27,-1.4647202,42.545456
27,-1.1922141,52.363636
27,-1.1751825,56.727272
27,-1.0218978,55.272728
27,-1.0218978,50.545456
27,-1.1070559,39.636364
27,-1.3284671,32
27,-1.243309,24
27,-1.1240876,23.636364
27,-1.1240876,16.727272
27,-1.0218978,15.272727
27,-1.2092458,14.181818
27,-0.9367397,20
27,-0.8515815,18.90909
27,-0.8515815,15.636364
27,-0.783455,22.545454
27,-0.783455,25.818182
27,-0.783455,28
27,-0.81751823,32
27,-0.8515815,38.18182
27,-0.71532845,37.454544
27,-0.18734793,27.636364
27,-0.25547445,26.181818
27,-0.34063262,26.181818
27,-0.5450122,20.727272
27,-0.5109489,19.272728
27,-0.459854,18.181818
27,-0.34063262,18.181818
27,-0.783455,8
27,-0.71532845,8
27,-0.71532845,4.7272725
27,-0.459854,4.7272725
27,-0.459854,10.181818
27,-0.459854,11.636364
27,-0.25547445,10.545455
27,-0.25547445,6.909091
27,-0.23844282,12
28,-2.2826087,64.13043
28,-2.0966184,74.27536
28,-1.7922705,88.04348
28,-1.7753624,93.115944
28,-1.4541063,85.86957
28,-1.3019323,81.884056
28,-1.2850242,89.49275
28,-1.2342995,88.4058
28,-0.9637681,83.333336
28,-1.0483092,76.08696
28,-0.92995167,76.08696
28,-1.6062802,76.44927
28,-1.7077295,71.37681
28,-1.6908213,69.565216
28,-1.3864734,65.21739
28,-1.4710145,77.89855
28,-1.2512077,72.10145
28,-1.2512077,69.202896
28,-1.2512077,66.666664
28,-1.115942,62.68116
28,-1.2173913,54.710144
28,-1.1666666,41.666668
28,-1.1835749,38.04348
28,-0.9975845,36.594204
28,-0.9130435,43.115944
28,-0.3888889,28.26087
28,-0.72705317,27.173914
28,-0.8961353,20.289856
28,-1.0144928,16.666666
28,-0.84541065,7.6086955
28,-0.62560385,5.4347825
28,-0.47342995,3.9855072
28,-0.5748792,7.6086955
28,-0.6932367,12.681159
28,-0.42270532,12.681159
28,-0.33816424,12.681159
28,-0.5072464,16.304348
28,-0.5241546,21.014492
28,-0.3043478,8.333333
28,-0.18599033,8.333333
29,-3.2116199,76.97828
29,-2.9227474,83.48511
29,-2.9229114,82.03583
29,-2.838043,83.1184
29,-2.7020812,86.37225
29,-2.4989798,83.82549
29,-2.2781909,87.79959
29,-2.007088,87.06092
29,-1.8205663,87.77591
29,-1.8721522,81.2568
29,-2.4667645,68.968666
29,-2.2799144,72.5822
29,-2.1446502,69.676636
29,-2.14543,62.792576
29,-2.2311602,54.10131
29,-1.6868206,71.46454
29,-1.6038401,55.880444
29,-1.6060562,36.315228
29,-1.3163217,50.430748
29,-1.1459694,58.03067
29,-1.079076,50.056145
29,-1.0807176,35.563393
29,-1.0820309,23.96919
29,-1.0829747,15.635857
29,-1.2534913,6.5866585
29,-0.8107229,25.04211
29,-0.6751304,25.035091
29,-0.62395495,27.931011
29,-0.82836956,18.883566
29,-0.76045024,19.967014
29,-0.76098377,15.256869
29,-0.86292434,13.08822
29,-1.0495691,11.286276
29,-0.88102245,2.9441695
29,-0.7790819,5.1128187
29,-0.50711733,11.982841
29,-0.42270035,9.079904
29,-0.3207598,11.248552
29,-0.32047254,13.784784
29,-0.20150085,16.677195
29,-0.3556839,2.192336
29,-0.2371226,1.4615574
29,-0.23683532,3.9977891
30,-2.00132,96.20669
30,-1.4881563,93.20436
30,-1.0004033,87.109055
30,-0.50095403,63.66527
30,0,0
31,-3.9955878,98.49008
31,-2.0143733,88.14088
31,-1.5015756,78.28775
31,-1.0142357,64.45766
31,-0.51427305,50.627106
31,0.00E+00,0
32,-2.514643,96.22559
32,-1.9933296,88.2506
32,-1.4855833,62.59657
32,-1.0066468,48.98778
32,-0.49419713,32.615337
32,0,0
